id,origin_name,result_nums,final_name,type,errorcode,certified,hasany
226,海底捞巴奴火锅,0,海底捞火锅,正确,0,FALSE,
127,海底捞火锅,19,海底捞火锅,正确,0,FALSE,
317,韩风源自助烤肉餐厅,0,韩风源自助烤肉,正确,0,FALSE,
26,汉堡王,13,汉堡王,正确,0,FALSE,
59,杭州小笼包店,1,杭州小笼包店,正确,0,,
51,豪客来,11,豪客来牛排,正确,0,TRUE,
531,豪客来牛排,9,豪客来牛排,正确,0,TRUE,
313,豪享来,29,豪享来牛排,正确,0,TRUE,
123,合记烩面,7,合记烩面,正确,0,FALSE,
76,合流镇胡辣汤,4,合流镇胡辣汤,正确,0,FALSE,
332,贺记酸菜鱼,1,贺记酸菜鱼,正确,0,,
479,弘润华夏大酒店,7,弘润华夏大酒店,正确,0,,
278,洪崖洞毛肚火锅,1,洪崖洞毛肚火锅,正确,0,,
260,鸿茂斋,5,鸿茂斋,正确,0,FALSE,
564,湖南大碗菜,9,湖南大碗菜,正确,0,FALSE,
215,虎丹鸿源斋,1,虎丹鸿源斋,正确,0,,
560,虎子烧烤,1,虎子烧烤,正确,0,,
187,花甲客，二七广场店,0,花甲客,正确,0,TRUE,
86,花千代烤鱼,3,花千代秘制烤鱼,正确,0,FALSE,
561,花园路丹尼斯花千代,0,花千代秘制烤鱼,正确,0,FALSE,
350,华莱士,70,华莱士,正确,0,TRUE,
389,华豫川,3,华豫川酒家,正确,0,FALSE,
301,怀生记,6,怀生记小馆,正确,0,,
426,淮南牛肉汤,65,淮南牛肉汤,正确,0,,
551,黄瓜条串串火锅,2,黄瓜条串串火锅,正确,0,FALSE,
376,黄河迎宾馆,10,黄河迎宾馆,正确,0,,
563,黄记煌,8,黄记煌三汁焖锅,正确,0,TRUE,
81,黄记煌三汁焖锅,6,黄记煌三汁焖锅,正确,0,TRUE,
30,黄家包子,1,开封黄家包子,正确,0,,
175,汇艺万怡酒店,2,汇艺万怡酒店,正确,0,FALSE,
69,惠风楼,1,惠风楼,正确,0,,
68,集渔,3,集渔泰式海鲜火锅,正确,0,FALSE,
23,建业艾美曙日本餐厅,0,建业艾美酒店,正确,0,FALSE,
520,建业大食堂,3,戏缘·建业大食堂,正确,0,FALSE,
273,姐弟俩,17,姐弟俩土豆粉,正确,0,TRUE,
70,解家味道,1,解家味道,正确,0,,
406,筋面郎,6,筋面郎,正确,0,TRUE,
262,筋头巴脑,2,筋头巴脑,正确,0,,
205,晋面王,2,晋面王山西老面馆,正确,0,,
201,晋味缘老山西面馆,1,晋味缘老山西面馆,正确,0,,
485,京馆涮,10,京馆涮,正确,0,TRUE,
284,九田家烤肉,1,九田家烤肉,正确,0,,
471,九云川,1,九云川,正确,0,FALSE,
468,久吉家,1,久吉家,正确,0,TRUE,
517,久如香,4,久如香,正确,0,FALSE,1
300,军力烧烤,10,军力烧烤,正确,0,FALSE,1
224,开封灌汤包,20,开封灌汤包,正确,0,,
32,开顺,6,开顺美食,正确,0,,
48,肯德基,48,肯德基,正确,0,TRUE,
459,口味堂,2,口味堂,正确,0,FALSE,
53,宽窄巷子,10,宽窄巷子,正确,0,FALSE,1
197,老丁家烩面,2,老丁家烩面,正确,0,,
422,老汉口热干面,62,老汉口热干面,正确,0,FALSE,
67,老家味道地锅,0,老家味道·大炖锅,正确,0,,
